InputSize,Time
16,4.230462195275025e-09
20,9.02199594455813e-09
31,3.263122778915323e-08
48,1.1463135189605966e-07
51,1.534915891538899e-07
69,3.876647564201513e-07
85,6.391302518692111e-07
87,7.574848596007194e-07
89,7.971164493741991e-07
100,1.039455933813247e-06
101,1.109090886341161e-06
103,1.3824047718698992e-06
103,1.3239000257447793e-06
107,1.254539950597892e-06
116,1.784218356172092e-06
130,2.3535433278915955e-06
141,2.87267473720806e-06
173,5.547207606398925e-06
195,8.350115349745683e-06
198,8.861915714461319e-06
202,8.446520476649396e-06
204,9.022588674598331e-06
208,9.667449350567684e-06
211,1.0067714278527335e-05
219,1.1868540763705272e-05
225,1.2806693349192956e-05
258,1.825157478083318e-05
263,2.0804436356196418e-05
303,2.9832169847722555e-05
303,3.0119388254906894e-05
314,3.5225533353917843e-05
335,3.920475970059604e-05
342,4.724757009066116e-05
349,4.351908357608938e-05
355,4.8879631531065084e-05
359,5.059544094529939e-05
380,5.7966613896504093e-05
388,6.105193821095669e-05
406,7.433516530974202e-05
407,7.307000034885814e-05
411,7.209184614249766e-05
413,8.349752830173538e-05
414,7.525506757175101e-05
419,8.712189568660236e-05
426,7.890579659942444e-05
430,9.392862626475254e-05
439,9.132904950474966e-05
441,9.542784488727609e-05
469,0.00010750276876871423
488,0.00012960420007275279
504,0.00014861730034239695
507,0.00013892363999842573
524,0.00015943800704263744
526,0.00015938275642457655
532,0.00016459065364830537
539,0.00017493187755105924
558,0.00018955874953333095
566,0.0001869694077470807
584,0.00020741996830463388
584,0.00023180369016377838
586,0.00021473621814987375
587,0.000224933112777826
590,0.0002370930466515358
595,0.00024136036976193733
609,0.0002457474550573853
610,0.00025337701443562777
629,0.00026610506390684226
635,0.00026918774765661473
642,0.000302577938040933
646,0.0002874874941560098
655,0.00029795972752983
682,0.00035449405125498123
706,0.00042579247665904294
716,0.00042554966133486887
735,0.000440722581658253
745,0.00043883733332189317
746,0.0004322155984060665
748,0.000476906416811198
758,0.0004459270852291247
777,0.0006088933349164242
780,0.0005721107525129059
801,0.0005492984263701981
808,0.0006000119442449621
815,0.0005656869575805644
834,0.0006067268114406607
836,0.0006324780148894583
849,0.0007010958853011236
871,0.0006773636992982064
875,0.0007168105258789162
881,0.0007453808648966893
887,0.0007746030807083027
893,0.0008981223959759866
897,0.0007838350056150093
916,0.0008916152591877406
929,0.0009193183667148896
946,0.0008784329073773393
954,0.0009110726216333837
964,0.001011851013932735
976,0.0010288989098404594
994,0.0010227067774416412
